plateID,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate,2018_8_1_plate
reaction_type,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1,test1
unique_sampleID,716,740,764,788,812,836,860,884,908,932,450,474,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,9,29,53,89,113,149,173,209,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,725,749,773,797,821,845,869,893,917,953,451,475,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,6,30,54,90,114,150,174,210,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,726,750,774,798,822,846,870,894,918,954,452,476,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,7,31,55,91,115,151,175,211,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,727,751,775,799,823,847,871,895,919,955,461,485,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,8,32,56,92,116,152,176,212,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,728,752,776,800,824,848,872,896,920,956,462,486,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,17,41,77,101,137,161,197,233,737,761,785,809,833,857,881,905,929,245,463,487,18,42,78,102,138,162,198,234,738,762,786,810,834,858,882,906,930,464,488,19,43,79,103,139,163,199,235,739,763,787,811,835,859,883,907,931,473,497,20,44,80,104,140,164,200,236,NTC,NTC,NTC
starting_quantity,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,100,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5,0.5,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,50,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1,0.1,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10,10,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.05,0.05,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01,0.01,0.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle_number,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A16,A17,A18,B1,B2,B3,B4,B5,B6,B7,B8,B16,B17,B18,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C16,C17,C18,D1,D2,D3,D4,D5,D6,D7,D8,D16,D17,D18,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E16,E17,E18,F1,F2,F3,F4,F5,F6,F7,F8,F16,F17,F18,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G16,G17,G18,H1,H2,H3,H4,H5,H6,H7,H8,H16,H17,H18,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I16,I17,I18,J1,J2,J3,J4,J5,J6,J7,J8,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,L1,L2,L3,L4,L5,L6,L7,L8,M1,M2,M3,M4,M5,M6,M7,M8,M9,M11,M12,N1,N2,N3,N4,N5,N6,N7,N8,O1,O2,O3,O4,O5,O6,O7,O8,O9,O11,O12,P1,P2,P3,P4,P5,P6,P7,P8,P16,P17,P18
1,3515.8,3632.83,3528.6,3596.08,3507.76,3560.14,3503.91,3677.37,3575.56,3636.46,3701.85,3774.8,3700.41,3677.08,3689.47,3589.05,3858.66,3897.58,3757.52,3816.23,3828.05,3862.87,3809.02,3680.82,3843.34,3703.2,3621.66,3611.72,3629.05,3625.26,3634.14,3605.28,3596.79,3592.21,3611.99,3712.73,3653.53,3597.37,3590.68,3641.94,3683.95,3677.57,3700.2,3814.61,3800.22,3807.68,3803.45,3836.88,3846.4,3611.15,3770.09,3780.43,3587.58,3628.11,3600.46,3626.61,3552.09,3683.61,3644.23,3636.07,3625.46,3636.75,3571.03,3631.45,3554.25,3562.74,3595.92,3644.41,3681.86,3793.17,3860.61,3823.53,3733.97,3929.79,3876.35,3690.93,3784.75,3715.23,3624.92,3644.56,3623.38,3676.88,3630.32,3690.3,3589,3487.58,3540.65,3648.83,3569.5,3678.12,3509.06,3542.25,3436.96,3644.68,3770.47,3709.48,3709.29,3734.84,3748.1,3818.57,3668.74,3697.99,3720.92,3756.01,3552.52,3651.15,3518.6,3654.66,3640.18,3642.89,3505.79,3564.61,3614.94,3588.58,3604.93,3528.58,3494.35,3509.26,3583.71,3688.13,3748.41,3760.84,3709.96,3824.72,3679.79,3764.71,3740.78,3685.32,3685.26,3594,3541.54,3538.18,3628.31,3602.05,3552.93,3549.33,3568.44,3500.43,3500.3,3625.23,3782.89,3854.65,3814.13,3811.13,3739,3740.88,3787.92,3720.49,3768.39,3673.46,3582.22,3587.33,3546.03,3582.26,3594.29,3595.42,3533.35,3553.89,3799.48,3860.42,3806.49,3872.36,3849.59,3640.71,3702.57,3671.98,3664.24,3708.89,3672.95,3612.9,3581.6,3644.49,3612.43,3544.21,3603.85,3585.02,3549.37,3749.03,3788.57,3885.94,3757.56,3720.79,3677.94,3671.84,3661.01,3579.07,3630.89,3636.72
2,3509.28,3597.86,3505.76,3560.75,3485.68,3523.08,3480.2,3643.85,3542.9,3592.91,3676.85,3732.62,3667.98,3640.84,3655.95,3561.13,3812.05,3826.14,3715.71,3746.57,3767.84,3793.33,3743.97,3617.35,3776.7,3644.69,3592.98,3571.19,3594.55,3576.84,3595.01,3557.03,3553.62,3541.78,3560.49,3668.22,3605.51,3536.13,3537.9,3595.99,3627.13,3633.13,3650.7,3764.25,3728.65,3734.2,3739.14,3774.48,3776.19,3542.37,3694.38,3708.12,3554.62,3587.16,3559.12,3584.77,3506.29,3642.84,3596.25,3587.82,3575.61,3589.92,3535.33,3590.17,3511.95,3523.59,3540.12,3594.72,3631.99,3738.96,3796.9,3770.8,3670.92,3857.46,3810.3,3635.2,3721.72,3639.02,3600.03,3597.73,3592.42,3634.03,3587.78,3635.57,3555.04,3446.91,3499.63,3600.33,3530.28,3624.01,3460.52,3504.14,3395.66,3609.1,3733.17,3663.99,3671.81,3665.55,3689.55,3753.75,3622.56,3641.65,3676.2,3703.26,3529.41,3621.15,3499.94,3608.97,3586.13,3599.56,3463.28,3528.6,3571.6,3541.45,3570.11,3505.96,3468.8,3476.02,3526.21,3654.99,3690.12,3715.36,3656.96,3780.13,3635.59,3706.85,3692.71,3650.78,3647.86,3563.46,3498.31,3507.72,3586.21,3572.47,3515.12,3507.74,3543.02,3467.65,3460.51,3591.13,3731.4,3806.47,3753.33,3764.35,3680.83,3691.35,3721.05,3684.03,3732.18,3637.36,3549.13,3558.3,3513.78,3541.37,3552.44,3548.35,3497.89,3514.02,3759.77,3807.8,3761.82,3789.83,3781.99,3587.48,3642.21,3615.26,3630.65,3664.42,3638.66,3572.34,3542.62,3592.19,3574.99,3502.88,3570.44,3543.18,3494.3,3728.76,3760.08,3844.56,3728.64,3688.2,3650.02,3630.27,3627.19,3539.42,3587.51,3592.68
3,3512.52,3593.88,3506.97,3556.15,3483.02,3518.04,3475.46,3635.14,3546.26,3584.81,3676.68,3719.21,3656.58,3632.79,3647.98,3555.91,3807.16,3823.12,3712.68,3740.84,3764.03,3791.64,3736.92,3613.31,3770.76,3645.43,3590.73,3568.25,3593.29,3573.84,3589.38,3553.66,3549.78,3541.28,3556.24,3658.13,3605.15,3528.65,3537.08,3590.08,3624.77,3622.89,3646.05,3755.12,3722.69,3727.34,3737.25,3770.07,3772.61,3539.23,3690.36,3706.51,3552.32,3584.68,3558.53,3582.55,3503.79,3640.23,3595.92,3585.28,3573.88,3591.02,3536.03,3585,3509.17,3517.61,3534.48,3585.91,3621.29,3726.56,3787.46,3764.53,3667.16,3854.01,3805.86,3632.28,3716.12,3635.75,3596.54,3600.69,3592.73,3637.38,3588.04,3631.88,3554.77,3446.73,3493.54,3600.41,3529.4,3622.79,3458.98,3499.15,3393.54,3602.24,3723.3,3660.25,3665.9,3666.84,3681.91,3752.08,3613.15,3635.38,3675.17,3693.59,3527.49,3625.49,3489.09,3609.42,3586.89,3594.98,3462.3,3525.9,3570.42,3536.99,3565.74,3501.5,3465.42,3470.37,3525.51,3647.21,3686.29,3713.76,3651.26,3774.44,3631.77,3704.1,3687.27,3644.63,3640.41,3566.66,3499.34,3507.27,3584.86,3568.79,3508.47,3505.14,3548.46,3465.47,3459.33,3587.75,3725.43,3805.85,3745.96,3740.1,3675.31,3686.03,3713.91,3686.56,3726.7,3640.28,3546.5,3554.08,3513.35,3540.8,3551.13,3546.22,3494.93,3505.51,3751.73,3798.05,3752.47,3783.6,3778.23,3585.28,3640.27,3609.59,3638.33,3666.26,3639.5,3571.72,3543.76,3595.19,3576.18,3501.8,3567.16,3539.68,3490.51,3726.02,3754.14,3843.29,3725.65,3678.85,3648.43,3626.73,3625.25,3536.62,3582.91,3587.39
4,3508.63,3587.65,3505.45,3551.16,3479.79,3516.11,3477.98,3628.77,3539.47,3584.16,3667.03,3716.89,3657.7,3632.68,3643.23,3549.43,3802.77,3815,3703.93,3735.29,3766.68,3781.69,3734.93,3612.54,3764.66,3637.78,3589.85,3567.49,3589.82,3575.53,3590.94,3557.12,3547.7,3535.06,3557.2,3659.95,3600.4,3530.41,3536.74,3591.41,3618.61,3619.44,3637.58,3754.16,3714.61,3722.39,3725.84,3768.59,3769,3536.29,3688.19,3700.01,3552.64,3579.98,3555.05,3576.15,3508.57,3637.29,3592.77,3586.49,3572.3,3584.42,3531.1,3585.75,3505.34,3517.87,3535.22,3582.3,3623.1,3725.76,3783.27,3761.09,3668.11,3850.7,3807.01,3628.63,3716.51,3629.43,3597.87,3596.93,3589.94,3631.4,3589.26,3634.19,3551.72,3446.41,3490.06,3599.9,3526.88,3620.78,3461.27,3493.72,3388.35,3599.6,3721.41,3660.63,3662.7,3663.66,3682.72,3748.88,3609.7,3634.41,3671.27,3692.54,3523.1,3617.02,3492.58,3607.54,3589.01,3596.34,3459.14,3524.35,3567.32,3538,3563.41,3498.58,3467.1,3469.49,3521.53,3644.87,3682.49,3712.28,3651.77,3767.81,3623.75,3701,3680.84,3647.31,3639,3562.47,3492.8,3505.1,3580.98,3563.76,3507.51,3505.02,3536.38,3462.79,3457.79,3588.23,3721.11,3799.51,3742.97,3738.51,3670.14,3680.47,3716.34,3686.96,3726.1,3637.14,3546.26,3556.03,3509.51,3537.32,3545.81,3542.21,3489.47,3506.7,3750.92,3793.52,3751.8,3778.54,3771.9,3578.94,3635.32,3610.53,3631.95,3661.17,3636.65,3569.54,3544.41,3592.45,3574.19,3499.15,3568.09,3535,3487.99,3725.74,3753.06,3839.16,3715,3675.55,3641.93,3620.02,3626.14,3528.67,3575.08,3583.24
5,3505.47,3591.14,3504.2,3548.98,3482.11,3515.58,3475.43,3627.84,3539.73,3579.65,3665.51,3716.84,3647.95,3632.63,3638.53,3549.42,3794.4,3812.63,3696.98,3731.68,3758.32,3787.78,3730.56,3609.84,3765.02,3639.29,3588.09,3563.93,3590.54,3572.53,3583.03,3549.07,3544.25,3535.41,3558.52,3658.18,3599.37,3528.37,3534.23,3586.29,3616.09,3617.4,3639.16,3751.94,3715.83,3718.08,3729.18,3764.87,3766.08,3534.54,3685.85,3702.81,3548.46,3578.06,3556.64,3578.36,3506.13,3634.33,3588.69,3585.67,3567.05,3583.97,3529.46,3584.53,3505.7,3508.42,3529.92,3577.76,3617.35,3721.54,3776.62,3761.17,3660.36,3850.54,3803.93,3626.04,3714.69,3631.42,3589.7,3599.96,3588.06,3633.68,3588.27,3634.56,3550.21,3442.26,3490.33,3593.73,3523.42,3615.05,3453.78,3491.98,3389.97,3591.56,3715.82,3659.32,3664.54,3663.57,3676.38,3747.71,3600.24,3627.89,3669.7,3681.43,3518.69,3612.19,3492.78,3606.76,3590.9,3595.7,3454.72,3520.95,3565.13,3535.06,3562.19,3492.73,3460.88,3465.02,3520.68,3638.89,3682.9,3711.06,3652.54,3766.45,3625.82,3701.61,3679.81,3642.84,3635.75,3560.18,3492.69,3504.53,3577.39,3563.82,3507.33,3501.58,3533.28,3459.85,3452.61,3581.96,3721.82,3796.24,3739.56,3732.02,3669.25,3677.88,3710.37,3681.41,3723.56,3638.24,3541.26,3556.75,3509.48,3534.33,3539.61,3542.61,3484.64,3498.66,3746.65,3788.04,3745.1,3778.47,3775.16,3580.17,3634.08,3604.72,3630.53,3656.59,3631.79,3566.73,3540.36,3584.19,3567.36,3497.03,3563.01,3531.92,3482.64,3728.18,3746.57,3836.95,3713.05,3672.9,3635.42,3619.52,3618.52,3525.66,3572.98,3577.24
