plateID,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate,2018_9_2_plate
reaction_type,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products
unique_sampleID_number,716,740,764,788,812,836,860,884,908,932,450,474,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,9,29,53,89,113,149,173,209,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,725,749,773,797,821,845,869,893,917,953,451,475,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,6,30,54,90,114,150,174,210,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,726,750,774,798,822,846,870,894,918,954,452,476,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,7,31,55,91,115,151,175,211,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,727,751,775,799,823,847,871,895,919,955,461,485,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,8,32,56,92,116,152,176,212,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,728,752,776,800,824,848,872,896,920,956,462,486,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,17,41,77,101,137,161,197,233,737,761,785,809,833,857,881,905,929,245,463,487,18,42,78,102,138,162,198,234,738,762,786,810,834,858,882,906,930,464,488,19,43,79,103,139,163,199,235,739,763,787,811,835,859,883,907,931,473,497,20,44,80,104,140,164,200,236,NTC,NTC,NTC,NTC,NTC,NTC
starting_quantity,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,100,100,100,100,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5,0.5,0.5,0.5,0.5,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,50,50,50,50,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1,0.1,0.1,0.1,0.1,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10,10,10,10,10,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.05,0.05,0.05,0.05,0.05,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,5,5,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01,0.01,0.01,0.01,0.01,0.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle_number,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A19,A20,A21,A22,A23,A24,B1,B2,B3,B4,B5,B6,B7,B8,B19,B20,B21,B22,B23,B24,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C19,C20,C21,C22,C23,C24,D1,D2,D3,D4,D5,D6,D7,D8,D19,D20,D21,D22,D23,D24,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E19,E20,E21,E22,E23,E24,F1,F2,F3,F4,F5,F6,F7,F8,F19,F20,F21,F22,F23,F24,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G19,G20,G21,G22,G23,G24,H1,H2,H3,H4,H5,H6,H7,H8,H19,H20,H21,H22,H23,H24,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I19,I20,I21,I22,I23,I24,J1,J2,J3,J4,J5,J6,J7,J8,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,L1,L2,L3,L4,L5,L6,L7,L8,M1,M2,M3,M4,M5,M6,M7,M8,M9,M11,M12,N1,N2,N3,N4,N5,N6,N7,N8,O1,O2,O3,O4,O5,O6,O7,O8,O9,O11,O12,P1,P2,P3,P4,P5,P6,P7,P8,P19,P20,P21,P22,P23,P24
1,3472.93,3587.41,3483.91,3551.23,3455.73,3504.5,3456.55,3629.03,3513.76,3589.97,3660.63,3705.79,3636.92,3543.12,3680.15,3682.97,3711.19,3623.45,3575.22,3827.03,3802.06,3693.87,3747.31,3766.27,3816.13,3753.38,3822.58,3752.81,3585.3,3590.46,3643.39,3612.04,3552.07,3574.12,3608.08,3577.35,3571.86,3539.88,3539.44,3565.12,3561.19,3661.42,3607.65,3557.06,3433.37,3545.63,3552.39,3689.59,3661.13,3700.03,3624.59,3648.9,3738.7,3759.6,3728.09,3749.13,3780.77,3751.7,3634.91,3663.17,3504.33,3537.39,3590.95,3711.58,3518.76,3571.68,3547.71,3550.43,3486.79,3627.15,3570.59,3590.3,3551.33,3579.8,3490.41,3561.01,3482.44,3439.31,3526.87,3612.83,3636.93,3602.3,3592.97,3631.43,3716.5,3777.38,3741.43,3664.13,3838.95,3741.3,3645.01,3649.5,3484.02,3519.65,3542.44,3661.99,3561.98,3589.62,3598.63,3635.75,3587.6,3634.51,3565.5,3447.17,3497.77,3638.76,3533.15,3629.41,3485.9,3502.17,3543.61,3580.91,3562.98,3544.56,3592.2,3711.54,3614.14,3644.3,3654.01,3689.09,3735.29,3585.11,3556.53,3627.85,3538.5,3379.93,3499.32,3620.25,3483.03,3594.2,3488.09,3583.1,3564.57,3577.61,3423.67,3487.75,3569.14,3535.16,3557.86,3465.67,3473.66,3453.15,3513.45,3531.54,3549.52,3542.79,3634.06,3666.15,3692.53,3632.4,3732.51,3642.46,3675.83,3547.54,3618.61,3623.05,3538.08,3485.27,3476.98,3560.71,3549.92,3507.21,3505.62,3526.09,3441.43,3429.11,3565.51,3714.88,3774.65,3724.81,3739.63,3673.56,3676.28,3685.49,3639.05,3654.16,3589.47,3508.36,3536.34,3498.38,3523.21,3552.83,3554.67,3511.59,3493.09,3725.82,3794.42,3732.43,3794.18,3780.63,3590.06,3649.31,3530.12,3619.64,3647.43,3626.4,3561.95,3527.14,3571.12,3576.14,3492.99,3577.35,3545.56,3495.29,3673.27,3733.33,3825.09,3696,3666.2,3637.16,3632.55,3603.86,3633.38,3475.47,3396.57,3448.69,3398.78,3437.59
2,3476.45,3567.75,3476.22,3519.66,3443.89,3474.06,3437.37,3596.63,3495.18,3562.3,3638.75,3673.05,3620.08,3519.51,3656.88,3655.21,3687.25,3582.18,3533.74,3781.75,3743.87,3650.09,3682.68,3719.31,3757.82,3693.75,3755.27,3681.36,3537.9,3535.5,3578.98,3573.85,3534.21,3535.31,3575.02,3545.02,3536.8,3503.42,3515.92,3523.18,3529.25,3618.19,3569.17,3508.65,3399.54,3500.68,3509.59,3637.96,3621.59,3672.56,3587.39,3598.62,3690.03,3698.83,3669.21,3698.1,3725.65,3696.4,3589.37,3607.37,3457.59,3478.33,3541.06,3678.34,3499.33,3530.6,3518.85,3514.8,3453.95,3589.44,3537.67,3556.47,3517.06,3545.59,3469.94,3529.57,3441.17,3402.7,3489.88,3569.48,3577.84,3581.05,3553.22,3581.41,3664.96,3723.66,3692.33,3615.9,3791.89,3694.55,3597.63,3588.08,3440.22,3454.44,3483.34,3621.64,3540.82,3565.59,3562.95,3595.85,3542.85,3592.74,3533.5,3417.75,3460.05,3602.4,3496.23,3581.08,3456.18,3461.09,3507.26,3532.61,3534.32,3527.38,3564.65,3676.07,3593.54,3606.35,3609.94,3624.26,3700.42,3525.43,3526.94,3587.16,3502.52,3338.71,3475.69,3599.04,3461.45,3562.25,3458.82,3562.5,3529.77,3540.56,3400.18,3467.81,3532.37,3503.18,3518.14,3449.72,3441.92,3433.04,3486.15,3482.31,3510.29,3528.93,3593.44,3614.45,3652.01,3590.01,3689.9,3576.7,3639.95,3511.36,3597.38,3591.86,3512.31,3452.22,3448.74,3525.98,3527.74,3470.83,3471.91,3513.68,3421.51,3404.29,3536.39,3664.87,3735.39,3678.4,3699.28,3628.44,3633.37,3636.31,3617.61,3631.13,3561.02,3479.68,3505.61,3462.79,3494.1,3519.49,3521.33,3480.21,3457.22,3683.43,3737.03,3682.17,3737.32,3713.6,3544.05,3602.64,3486.46,3584.78,3602.62,3586.28,3530.37,3494.28,3539.53,3542.25,3454.66,3536.48,3504.77,3447.46,3655.09,3708.73,3779.82,3665.56,3622.11,3602.7,3595.16,3578.05,3592.02,3444.81,3372.19,3419.58,3378.27,3420.39
3,3477.7,3564.56,3470.18,3515.62,3442.27,3470.2,3434.03,3591.08,3491.58,3553.64,3638.32,3661.62,3615.01,3514.2,3660.92,3652.21,3693.06,3603.9,3525.3,3777.96,3737.83,3640.1,3679.52,3712.86,3749.38,3690.34,3746.15,3679.2,3534.23,3526.41,3577.76,3563.74,3535.51,3536.71,3575.7,3544.41,3541.07,3497.76,3511.52,3516.76,3526.66,3615.42,3567.49,3505.28,3396.33,3496.59,3511.09,3637.63,3619.71,3672.97,3586.21,3595.93,3692.96,3696.07,3663.05,3694.74,3727.66,3692.32,3582.23,3603.34,3454.33,3474.89,3537.94,3676.77,3498.01,3528.8,3515.97,3516.34,3456.22,3583.77,3536.57,3556.39,3522.88,3544.85,3469.46,3527.7,3438.91,3398,3484.19,3570.7,3578.69,3575.52,3549.2,3585.42,3662.68,3721.58,3690.2,3608.88,3783.19,3687,3590.92,3583.95,3436.32,3451.53,3483.45,3617.57,3542.09,3561.6,3563.76,3594.64,3541.57,3588.69,3525.94,3413.13,3458.11,3595.89,3491.45,3583.23,3455.24,3461.06,3504.96,3531.85,3538.04,3527.49,3559.87,3676.9,3589.94,3604.75,3609.4,3618.25,3694.43,3520.71,3526.23,3584.81,3502.26,3334.57,3469.7,3594.74,3469.11,3560.95,3454.43,3560.84,3529.96,3535.32,3402.68,3464.99,3533.19,3502.66,3515.06,3446.84,3435.66,3430.97,3481,3482.82,3511.32,3528.12,3585.43,3611.5,3648.3,3592.41,3690.18,3574.14,3635.6,3507.26,3597.51,3593.93,3511.31,3449.67,3446.22,3528.94,3526.68,3475.32,3475.41,3512.31,3415.88,3403.12,3536.22,3660.21,3732.49,3672.81,3696.28,3627.93,3633.27,3631.03,3616.86,3616.21,3555.62,3479.85,3503.46,3460.48,3496.19,3517.82,3516.61,3475.43,3458.93,3687.53,3740.15,3677.11,3733.24,3711.08,3536.21,3596.23,3479.21,3586.54,3598.44,3590.65,3525.23,3492.83,3535.08,3537.6,3451.55,3537.48,3502.21,3444.23,3652.48,3710.53,3778.67,3663.24,3619.86,3604.99,3592.05,3575.18,3589.23,3447.43,3368.71,3416.08,3374.39,3432.95
4,3470.39,3555.47,3469.72,3504.97,3437.44,3462.1,3434.67,3591.03,3491.13,3556.31,3631.65,3659.29,3615.29,3514.28,3660.12,3651.46,3697.4,3616.4,3530.69,3769.02,3734.23,3635.85,3671.86,3705.85,3741.36,3685.25,3748.28,3677.05,3530.87,3521.61,3582.17,3564.11,3534.36,3536.02,3572.61,3537.25,3537.84,3499,3503.67,3517.4,3526.41,3610.07,3560.81,3497.52,3396.83,3499.67,3512.97,3634.93,3616.81,3668.27,3579.91,3589.02,3684.62,3686.96,3662.18,3690.53,3715.49,3684.61,3582.83,3602.64,3450.82,3467.22,3534.75,3667.94,3492.45,3527.34,3512.06,3512.63,3452.56,3586.83,3537.21,3556.67,3516.39,3545.47,3469.41,3522.97,3436.01,3401.16,3483.59,3572.88,3578.56,3579.11,3538.73,3577.36,3658.51,3718.56,3687.44,3603.77,3781.95,3686.98,3592.13,3581.52,3437.07,3450.68,3480.08,3616.97,3539.87,3562,3557.74,3595.59,3544.38,3588.58,3526.93,3411.25,3458.01,3599.61,3491.52,3583.05,3450.06,3462.48,3502.6,3527.64,3533.13,3524.65,3553.15,3669.18,3589.18,3599.59,3605.55,3620.12,3691.47,3519.46,3521.93,3583.87,3497.42,3331.26,3469.95,3590,3454.25,3558.15,3450.98,3566.4,3530.11,3533.61,3401.85,3465.66,3528.72,3501.08,3512.88,3447.37,3437.99,3426.78,3479.04,3479.69,3507.8,3522.41,3583.91,3608.94,3643.08,3584.02,3686.46,3573.48,3630.91,3503.05,3593.61,3584.45,3508.85,3444.44,3444.6,3523.32,3522.98,3471.74,3469.76,3510.83,3415.52,3403.01,3531.56,3659.85,3727.96,3668.81,3694.48,3622.73,3628.87,3625.46,3616.68,3614.26,3553.3,3472.54,3506.17,3458.6,3490.47,3514.19,3515.93,3473.13,3457.48,3683.36,3735.22,3671.54,3727.75,3705.87,3537.49,3593.4,3476.45,3587.38,3596.78,3585.75,3525.96,3488.83,3534.2,3533.91,3443.23,3533.18,3496.12,3443.33,3652.32,3699.72,3777.38,3655.08,3613.05,3599.39,3586.98,3566.96,3588.42,3442.5,3364.42,3408.75,3371.06,3424.2
5,3469.3,3553.98,3466.79,3506.72,3442,3468.37,3430.08,3585.57,3490.59,3559.39,3638.53,3661.16,3610.72,3515.83,3660.49,3650.46,3695.67,3629.2,3534.01,3770.9,3733.97,3636.12,3673.72,3706.37,3748.19,3688.71,3740.75,3674.49,3527.92,3521.71,3578.68,3562.57,3528.95,3535.45,3569.72,3541.21,3533.31,3497.15,3504.4,3511.24,3523.25,3613.47,3559.7,3495.92,3394.14,3496.23,3512.26,3633.49,3621.84,3669.91,3579.7,3590.09,3687.96,3684.33,3659.92,3684.45,3718.39,3685.3,3583.22,3601.58,3450.65,3473.58,3533.2,3668.88,3491.35,3524.49,3512.47,3514.2,3450.94,3589.96,3540.04,3553.55,3519.97,3543.95,3467.87,3525.31,3436.09,3398.05,3485.61,3571.6,3575.73,3568.74,3539.84,3578.75,3659.54,3721.56,3685.19,3602.27,3779.37,3683.97,3591.83,3583.7,3431.19,3449.58,3478.26,3612.38,3537.47,3559.65,3557.12,3594.14,3543.6,3585.53,3527.17,3405.56,3456.72,3595.52,3494.18,3580.41,3451.27,3454.66,3501.7,3528.87,3529.49,3524.24,3552.65,3667.82,3585.72,3594.16,3605.77,3620.93,3694.67,3514.16,3518.65,3581.77,3495.23,3328.6,3464.73,3587.36,3457.77,3560.13,3446.42,3561,3526.84,3535.49,3400.21,3458.82,3526.58,3501.79,3511.83,3442.82,3431.83,3427.72,3478.31,3476.16,3506.63,3522.55,3585.84,3606.08,3646.72,3583.67,3681.07,3572.76,3632.45,3498.57,3589.4,3587.63,3503.53,3449.69,3450.8,3520.37,3517.01,3469.46,3467.82,3506.86,3407.1,3395.98,3533.01,3652.36,3731.15,3666.68,3688.96,3616.27,3627.63,3626.84,3612.87,3612.77,3554.39,3475.34,3502.52,3461.6,3491.51,3515.63,3517.33,3470.51,3452.19,3680.29,3730.47,3670.9,3725.3,3706.89,3533.03,3591.21,3477.27,3590.2,3596.9,3586.34,3519.55,3490.27,3532.58,3531.47,3445.3,3533.24,3497.91,3438.3,3642.51,3697.75,3772.8,3655.92,3614.84,3596.32,3588.97,3566.2,3583.17,3436.73,3358.8,3405.92,3364.71,3421.66
