"","sampleID.exp","test1.exp","allP.exp","ztest1","zallP","month","exp.adjust","exp.adjustTest1","stress"
"1","10_A_65",32090,39090,-0.605598971136247,0.108396497246005,"june",1436.35221870279,33526.3522187028,5563.6477812972
"2","10_B_66",35330,40000,0.754359904826838,0.360371525404632,"june",1819.55861359709,37149.5586135971,2850.44138640291
"3","10_C_67",31410,38550,-0.891022438930971,-0.0411271458371387,"june",1388.54456012073,32798.5445601207,5751.45543987928
"4","10_D_68",32030,38510,-0.630783394765194,-0.0522029712507045,"june",1433.09829160697,33463.098291607,5046.90170839303
"5","162_A_941",30870,38220,-1.11768225159149,-0.132502705499058,"june",1060.34831734322,31930.3483173432,6289.65168265678
"6","162_B_942",30780,39040,-1.1554588870349,0.0945517154790463,"june",1055.53262810546,31835.5326281055,7204.46737189455
"7","162_C_943",30790,38390,-1.15126148309675,-0.0854304474914021,"june",1055.88913070569,31845.8891307057,6544.11086929431
"8","162_D_944",30780,38570,-1.1554588870349,-0.0355892331303548,"june",1055.53262810546,31835.5326281055,6734.46737189455
"9","166_A_965",33190,39450,-0.143884537938905,0.2080789259681,"june",1605.98874857333,34795.9887485733,4654.01125142667
"10","166_C_967",33160,39390,-0.156476749753379,0.19146518784775,"june",1588.39703931382,34748.3970393138,4641.60296068618
"11","170_A_989",32050,39100,-0.622388586888881,0.111165453599396,"june",1434.13284320167,33484.1328432017,5615.86715679833
"12","170_B_990",31350,39310,-0.916206862559916,0.169313537020618,"june",1358.29511020201,32708.295110202,6601.70488979799
"13","170_C_991",31560,38660,-0.828061379858606,-0.0106686259498322,"june",1419.08644132045,32979.0864413204,5680.91355867955
"14","170_D_992",31670,38820,-0.781889936538871,0.0336346757044332,"june",1424.59769713714,33094.5976971371,5725.40230286286
"15","188_A_1197",32730,39710,-0.336965119094159,0.280071791156278,"june",1449.47012752813,34179.4701275281,5530.52987247188
"16","188_B_1198",35170,40000,0.687201441816316,0.360371525404632,"june",1814.12631927355,36984.1263192735,3015.87368072645
"17","19_B_126",31940,39070,-0.668560030208613,0.102858584539221,"june",1429.50741452914,33369.5074145291,5700.49258547086
"18","19_C_127",31370,38570,-0.907812054683601,-0.0355892331303548,"june",1370.03795504987,32740.0379550499,5829.96204495013
"19","19_D_128",34440,40000,0.380790954330804,0.360371525404632,"june",1648.19956613442,36088.1995661344,3911.80043386558
"20","201_A_1269",36190,40000,1.1153366435084,0.360371525404632,"june",1916.13854088727,38106.1385408873,1893.86145911273
"21","201_B_1270",32400,39090,-0.475479449053361,0.108396497246005,"june",1446.11690093155,33846.1169009315,5243.88309906845
"22","201_C_1271",35290,39230,0.737570289074207,0.147161886193484,"june",1818.78377678902,37108.783776789,2121.21622321098
