"","startq","allP","test1","NA","allPln","test1ln"
"X2018_9_2_plate.122","  0.01",32.8,30.59,NA,3.4904285153901,3.42067315816281
"X2018_9_2_plate.123","  0.01",32.78,30.62,NA,3.48981857331568,3.42165339022954
"X2018_9_2_plate.124","  0.01",32.73,30.56,NA,3.48829208851309,3.41969196429832
"X2018_9_3_plate.122","  0.01",32.43,30.66,NA,3.47908392031923,3.42295887344367
"X2018_9_3_plate.123","  0.01",32.74,30.63,NA,3.48859757194299,3.42197992084468
"X2018_9_3_plate.124","  0.01",32.63,30.68,NA,3.48523211060523,3.42361097649906
"X2018_9_2_plate.90","  0.05",30.33,28.28,NA,3.41213732170049,3.34215484102837
"X2018_9_2_plate.91","  0.05",30.44,28.29,NA,3.41575753299349,3.34250838531348
"X2018_9_2_plate.92","  0.05",30.52,28.26,NA,3.41838220641626,3.34144737725638
"X2018_9_3_plate.90","  0.05",30.19,28.41,NA,3.40751074371875,3.3467411958661
"X2018_9_3_plate.91","  0.05",30.46,28.33,NA,3.41641434746702,3.34392131384243
"X2018_9_3_plate.92","  0.05",30.15,28.59,NA,3.40618492317319,3.35305700633422
"X2018_9_2_plate.58","  0.10",29.4,27.31,NA,3.38099467434464,3.30725293548561
"X2018_9_2_plate.59","  0.10",29.36,27.33,NA,3.37963320374631,3.30798499993998
"X2018_9_2_plate.60","  0.10",29.51,27.48,NA,3.38472918895485,3.31345846735415
"X2018_9_3_plate.58","  0.10",29.27,27.44,NA,3.37656310070379,3.31200180285768
"X2018_9_3_plate.59","  0.10",29.45,27.45,NA,3.3826939100976,3.31236616795554
"X2018_9_3_plate.60","  0.10",29.23,28.06,NA,3.37519557912315,3.33434507467431
"X2018_9_2_plate.26","  0.50",26.81,24.89,NA,3.28877495224787,3.2144661163795
"X2018_9_2_plate.27","  0.50",26.85,24.84,NA,3.29026582095487,3.21245525706528
"X2018_9_2_plate.28","  0.50",26.97,24.89,NA,3.29472513715164,3.2144661163795
"X2018_9_3_plate.26","  0.50",26.52,24.83,NA,3.27789916531766,3.21205259952008
"X2018_9_3_plate.27","  0.50",26.74,24.87,NA,3.2861605716738,3.21366225781531
"X2018_9_3_plate.28","  0.50",26.63,24.89,NA,3.28203839982584,3.2144661163795
"X2018_9_2_plate.140","  1.00",25.85,23.72,NA,3.25231060095444,3.16631857412952
"X2018_9_2_plate.141","  1.00",25.85,23.91,NA,3.25231060095444,3.17429678147023
"X2018_9_2_plate.142","  1.00",25.92,23.85,NA,3.25501487148407,3.17178421733435
"X2018_9_3_plate.138","  1.00",25.43,23.81,NA,3.23592957943403,3.17010566049877
"X2018_9_3_plate.139","  1.00",25.43,23.91,NA,3.23592957943403,3.17429678147023
"X2018_9_3_plate.140","  1.00",25.42,23.83,NA,3.23553626576131,3.17094529111065
"X2018_9_2_plate.108","  5.00",23.07,21.17,NA,3.13853307218566,3.05258508514677
"X2018_9_2_plate.109","  5.00",23.07,21.14,NA,3.13853307218566,3.05116698044209
"X2018_9_2_plate.110","  5.00",23,21.14,NA,3.13549421592915,3.05116698044209
"X2018_9_3_plate.106","  5.00",22.82,21.42,NA,3.12763734443393,3.0643250650196
"X2018_9_3_plate.107","  5.00",22.83,21.41,NA,3.1280754605417,3.06385810260159
"X2018_9_3_plate.108","  5.00",22.8,21.36,NA,3.1267605359604,3.06152001409199
"X2018_9_2_plate.76"," 10.00",21.6,19.82,NA,3.07269331469012,2.98669152890184
"X2018_9_2_plate.77"," 10.00",21.62,20.06,NA,3.07361881221106,2.99872778253379
"X2018_9_2_plate.78"," 10.00",21.67,20.06,NA,3.07592881554827,2.99872778253379
"X2018_9_3_plate.74"," 10.00",21.56,20.14,NA,3.0708397460408,3.00270788729042
"X2018_9_3_plate.75"," 10.00",21.52,20.1,NA,3.06898273529358,3.00071981506503
"X2018_9_3_plate.76"," 10.00",21.49,20.12,NA,3.06758771065442,3.00171434523154
"X2018_9_2_plate.44"," 50.00",18.45,17.13,NA,2.91506437048654,2.84083131233603
"X2018_9_2_plate.45"," 50.00",18.42,17.22,NA,2.91343703082716,2.84607149899958
"X2018_9_2_plate.46"," 50.00",18.51,17.14,NA,2.91831112658541,2.84141491316963
"X2018_9_3_plate.42"," 50.00",18.43,17.21,NA,2.91397977168173,2.84549061022345
"X2018_9_3_plate.43"," 50.00",18.31,17.27,NA,2.90744735868642,2.84897089215859
"X2018_9_3_plate.44"," 50.00",18.41,17.22,NA,2.91289399524499,2.84607149899958
"X2018_9_2_plate.12","100.00",17.09,16.14,NA,2.8384934971275,2.7813006628418
"X2018_9_2_plate.13","100.00",17.13,16.22,NA,2.84083131233603,2.78624504868727
"X2018_9_2_plate.14","100.00",17.19,16.11,NA,2.84432781939476,2.77944019718888
"X2018_9_3_plate.10","100.00",16.91,16.01,NA,2.82790516291049,2.77321352700862
"X2018_9_3_plate.11","100.00",16.98,15.82,NA,2.8320361808832,2.76127496233951
"X2018_9_3_plate.12","100.00",17.09,16.1,NA,2.8384934971275,2.77881927199042
