"","sampleID.exp","test1.exp","allP.exp","test1.exp.ln","allP.exp.ln"
"1","10_A_65",32.09,39.09,3.46854445512177,3.66586667980486
"2","10_B_66",35.33,40,3.56473246137105,3.68887945411394
"3","10_C_67",31.41,38.55,3.44712631355056,3.65195610000934
"4","10_D_68",32.03,38.51,3.46667296362107,3.65091794782682
"5","162_A_941",30.87,38.22,3.42978483851407,3.64335893881213
"6","162_B_942",30.78,39.04,3.42686512841073,3.66458676154489
"7","162_C_943",30.79,38.39,3.42718996193641,3.64779700901271
"8","162_D_944",30.78,38.57,3.42686512841073,3.65247477222014
"9","166_A_965",33.19,39.45,3.50224862573188,3.67503404729188
"10","166_C_967",33.16,39.39,3.50134433026709,3.67351197698281
"11","170_A_989",32.05,39.1,3.46729718336668,3.66612246699132
"12","170_B_990",31.35,39.31,3.44521426707893,3.67147893943377
"13","170_C_991",31.56,38.66,3.45189049597767,3.65480547378018
"14","170_D_992",31.67,38.82,3.45536986055055,3.65893557774086
"15","188_A_1197",32.73,39.71,3.48829208851309,3.68160304514316
"16","188_B_1198",35.17,40,3.56019344648589,3.68887945411394
"17","19_B_126",31.94,39.07,3.46385914278687,3.66535490906698
"18","19_C_127",31.37,38.57,3.44585202220259,3.65247477222014
"19","19_D_128",34.44,40,3.53921867955953,3.68887945411394
"20","201_A_1269",36.19,40,3.58878283757565,3.68887945411394
"21","201_B_1270",32.4,39.09,3.47815842279828,3.66586667980486
"22","201_C_1271",35.29,39.23,3.56359963768718,3.66944176022146
"23","201_D_1272",33.04,40,3.49771894865278,3.68887945411394
"24","206_A_1329",31.7,38.87,3.45631668088323,3.66022274486413
"25","206_B_1330",32.26,39.26,3.47382807269706,3.67020618884832
"26","206_C_1331",35.01,40,3.55563373496657,3.68887945411394
"27","209_A_1365",32.11,38.82,3.46916750810142,3.65893557774086
"28","209_B_1366",31.48,39.03,3.4493524235492,3.66433058119252
"29","209_C_1367",31.83,38.95,3.460409241294,3.66227877231676
"30","212_D_1404",39.13,40,3.66688943622232,3.68887945411394
"31","214_A_1425",36.52,40,3.59786005572677,3.68887945411394
"32","214_B_1426",31.36,38.45,3.44553319548221,3.64935869595165
"33","221_C_1511",38.62,40,3.65377027700037,3.68887945411394
"34","221_D_1512",31.81,38.8,3.45978070576105,3.65842024662923
"35","231_B_1630",35.49,40,3.56925096665841,3.68887945411394
"36","231_C_1631",32.66,39.19,3.48615108754232,3.66842161221154
"37","231_D_1632",33.54,39.98,3.51273875639506,3.68837932907225
"38","233_A_1653",31.45,38.68,3.44839898314645,3.65532267058509
"39","233_B_1654",33.34,38.72,3.50675787732265,3.65635626240838
"40","233_C_1655",34.47,40,3.54008938052877,3.68887945411394
"41","233_D_1656",33.15,39.37,3.50104271663187,3.67300410495565
"42","236_B_1690",32.87,38.87,3.49256038767613,3.66022274486413
"43","236_D_1692",35.69,40,3.57487053750207,3.68887945411394
"44","242_A_1761",32.55,39.04,3.48277736865458,3.66458676154489
"45","242_B_1762",32.71,39.77,3.48768084155029,3.6831128592196
"46","242_C_1763",32.1,38.54,3.46885603013597,3.65169666298622
"47","245_A_1797",39.29,11,3.67097003357037,2.39789527279837
"48","245_D_1800",37.48,37.09,3.62380745737022,3.6133473915015
"49","248_A_1833",37.11,30.86,3.61388647507251,3.42946084693501
"50","248_C_1835",33.02,39.23,3.49711343849198,3.66944176022146
"51","248_D_1836",33.11,40,3.49983535155915,3.68887945411394
"52","250_A_1857",35.11,39.78,3.55848599018034,3.68336427342583
"53","250_B_1858",37.16,37.96,3.61523291394564,3.63653297374173
"54","250_C_1859",36.38,40,3.59401917308998,3.68887945411394
"55","250_D_1860",39.48,40,3.67579421456528,3.68887945411394
"56","30_A_185",32.37,40,3.47723206793815,3.68887945411394
"57","30_C_187",31.45,38.99,3.44839898314645,3.66330520299451
"58","35_A_221",36.06,40,3.58518421777517,3.68887945411394
"59","35_B_222",32.14,39.24,3.47010136030937,3.66969663469716
"60","35_C_223",31.88,38.96,3.46197885392201,3.66253547877433
"61","35_D_224",33.05,39.6,3.4980215662977,3.67882911826043
"62","46_A_281",31.34,38.76,3.44489523692787,3.65738878702257
"63","46_B_282",31.7,39.28,3.45631668088323,3.67071548348627
"64","46_C_283",32.09,39.18,3.46854445512177,3.66816641251639
"65","70_A_425",37.96,38.54,3.63653297374173,3.65169666298622
"66","70_B_426",31.68,39.02,3.45568556694622,3.66407433519497
"67","70_C_427",31.37,38.9,3.44585202220259,3.6609942506244
"68","70_D_428",37.52,40,3.62487412413802,3.68887945411394
