"","chr.type","chr","loc.name","pos","mQTL.lod","mQTL.asymp.p","vQTL.lod","vQTL.asymp.p","mvQTL.lod","mvQTL.asymp.p","m__est__(Intercept)","m__est__BreedTypeInbred","m__est__mean.QTL.add","m__se__(Intercept)","m__se__BreedTypeInbred","m__se__mean.QTL.add","v__est__(Intercept)","v__est__BreedTypeInbred","v__est__var.QTL.add","v__se__(Intercept)","v__se__BreedTypeInbred","v__se__var.QTL.add"
"1","A","1","gpm27",0.01,0.137690695016342,0.710587652905225,0.546855789265235,0.459605270490624,0.691566178730691,0.70766597073462,5383.33105667263,-360.332991448929,-60.5865374317433,318.048627273571,309.103934516911,76.3351217801225,15.8943819489965,-1.34734059669571,-0.114510755042152,0.546599510229841,0.525798468714153,0.21216063208718
"2","A","1","tub1",0.81,0.143219860520199,0.705100787702887,0.527202901028729,0.467785197601552,0.677185618069938,0.712772624579614,5386.95760123584,-362.923996836751,-61.4984722721396,318.326207363224,309.484216303922,75.9684995097369,15.8937673656644,-1.34968400627763,-0.11181806146901,0.546113506391701,0.525426190891612,0.211093373508383
"3","A","1","gpm113b",0.82,0.143171370711519,0.705148376107432,0.527067793637391,0.467842235316705,0.677000223098583,0.712838699872231,5386.97049078139,-362.951003865277,-61.4871384857755,318.329291569238,309.487292531244,75.9674174928992,15.8937692988596,-1.34970542160184,-0.111802163808317,0.546123618843351,0.52543423965188,0.211093951118827
"4","A","1","gpm705a",0.84,0.142252520201214,0.70605189217082,0.52373347460003,0.469253418562942,0.672795202520636,0.714339027247273,5386.70901810048,-362.929203004044,-61.2977783232003,318.339713721619,309.503996736175,75.9778908239166,15.8933687282502,-1.34969366719093,-0.1114567824765,0.546271350302961,0.525559881512355,0.211183034383397
"5","A","1","gpm325a",4.97,0.0917474903182755,0.761967228335477,0.794042264102808,0.372880625577318,0.893436916601802,0.639723991902721,5370.85004954038,-359.443518020681,-49.5533083824573,318.683300760368,306.856213244522,76.4937666281585,15.923130944192,-1.3492150053934,-0.137794546877691,0.563213327052732,0.532030456458883,0.214418961314327
"6","A","1","dmt103b",6.89,0.0757370334324305,0.783159804600482,0.871945367819785,0.350417311043993,0.950703023508557,0.62166649497358,5364.08305068734,-357.636312303599,-44.9954804257974,318.516220240445,306.401002746829,76.4600841593981,15.9300274368573,-1.35023328744519,-0.143662339714167,0.570923816298462,0.538201943469746,0.217089492197795
"7","A","1","gpm699d",8.67,0.0723379760812668,0.787962617925919,0.883065078411238,0.347363551266919,0.957483105772059,0.619562588165604,5362.50525385031,-356.884176515479,-44.2067661884724,318.674996756516,306.334918623771,76.8664239605735,15.9312967524085,-1.35018704338608,-0.144916439708394,0.572329780708517,0.538887195028728,0.218364352515685
"8","A","1","gpm319",14.82,0.0854112228977151,0.770093967144033,0.643705095501677,0.422372304377664,0.736259055577855,0.692027539086237,5379.74107636097,-368.488976615017,-48.9239936833437,321.899759216787,306.227327948925,78.2734418558158,15.9097504977871,-1.34213958080193,-0.125079728676352,0.591563926973926,0.54080615838324,0.222303609125611
"9","A","1","IDP1447",19.92,0.401983484989743,0.526066676481538,0.474773212325076,0.490799424509935,0.86972888847808,0.647352413479654,5463.93117874631,-409.88684757618,-101.650258604712,319.056280606677,309.285906206568,74.8729681073954,15.8857464370126,-1.36160665474473,-0.105450145059351,0.561745707854173,0.533457212560001,0.212546758070259
"10","A","1","bnl5.62a",21.12,0.432803392369536,0.510616562764224,0.454763570962871,0.5000814481738,0.886336326624894,0.641999237291439,5468.98638066681,-412.226783600967,-105.061934162293,319.011301364146,309.480740200188,74.5688967307903,15.8831712388875,-1.36238136259813,-0.102977622832153,0.560461983500427,0.532875770010578,0.211593802803617
"11","A","1","IDP1464",21.17,0.432801872988683,0.510617304842761,0.454761632082869,0.500082361904425,0.886331127947013,0.642000906067225,5468.98649805714,-412.227264487077,-105.061647973171,319.011368388915,309.480863595832,74.5688237855751,15.8831715025978,-1.36238218501543,-0.102977242624754,0.560461255163963,0.532875253040685,0.211593415432232
"12","A","1","fus6",22.62,0.434398832831324,0.509838364179002,0.460205529419184,0.497527934403868,0.893748402404701,0.639624367190217,5469.49320865014,-412.463140558973,-105.308695613785,319.020851124582,309.417171570709,74.6064980095594,15.8838383026301,-1.36239057415291,-0.103613317944994,0.560913657041213,0.532961845092782,0.211796494861025
"13","A","1","AY109692",23.62,0.442063414047899,0.506128211019536,0.451727709279593,0.501515632669904,0.891487121845029,0.640347961248938,5470.81374721038,-412.882207489451,-106.357361961037,319.07754016089,309.524348886675,74.6913860631094,15.8829847575825,-1.36262667446658,-0.102727006160789,0.561759944372474,0.533822015009392,0.212447103797894
"14","A","1","mmp102",24.42,0.310019090883429,0.577668470649781,0.000787279080779547,0.977615498086033,0.311943615266837,0.855583310949352,5443.06449740286,-397.384542514799,-89.6624284250246,326.824427286018,318.131699722536,75.0066713972528,15.7775484032061,-1.36336754612731,0.0045024705710382,0.590416322750949,0.552749843734939,0.221335865305367
"15","A","1","AY110314",29.42,0.419855176421654,0.517009317254271,0.0421018997238498,0.837425655090974,0.470667887377116,0.790306887559831,5444.34056581248,-386.073044994244,-104.423189385926,323.970633140506,317.356173793852,74.9614696110506,15.7342961343862,-1.34920912880514,0.0330811723141379,0.582293576400709,0.552573023680925,0.220737621696961
"16","A","1","umc94a",38.62,0.139412233838551,0.708866031869317,0.315320820442593,0.574433323904115,0.4820387899482,0.785826385158157,5308.89999626645,-293.90139003625,-61.7165698701091,312.78683093026,312.103626516673,76.4892816926228,15.6499265189114,-1.30873989700649,0.0940204224574429,0.567853231811797,0.564533100571941,0.226340698980494
"17","A","1","gpm331",38.71,0.141187780079821,0.707103041911044,0.313313062121875,0.575654238362833,0.481657659354282,0.785976150666204,5309.59981350691,-294.205133480301,-62.1373005418337,312.864530869805,312.146585726339,76.5248143871739,15.6504125200498,-1.30912047183417,0.0937493551340931,0.568318228513193,0.564837298664343,0.226599698399364
"18","A","1","lim179",47.02,0.370359181386404,0.542808548595705,0.000815641539498831,0.977215962097191,0.37035990523567,0.830954737916548,5429.79724555655,-380.171402543255,-98.1722182228977,321.114643430786,318.110330831939,74.5784996777197,15.8041843081251,-1.38514018192271,-0.00491229291319404,0.541193026200089,0.534237159486605,0.213553630010015
"19","A","1","IDP755",52.47,1.21521358556874,0.270302037207047,0.0810157472494936,0.77592559195547,1.31906874817912,0.517092049902201,5510.17187235356,-385.089073468447,-177.370500460931,322.265537060918,318.542733005347,74.3522407030704,15.7398832476735,-1.38152729482335,0.0450241971082823,0.562099435135633,0.546245071863559,0.218033692202561
"20","A","1","AY107629",54.63,1.22410520660621,0.268556505587395,0.0739034512696603,0.785735903011681,1.31902509472791,0.517103336451661,5511.89235674749,-384.371233534014,-178.291890554247,322.322367262536,318.513381244462,74.4680639081194,15.7426883351275,-1.38305344074258,0.0431675279854914,0.561269282362535,0.545194662100785,0.218058402862279
