"","chr.type","chr","loc.name","pos","mQTL.lod","mQTL.asymp.p","vQTL.lod","vQTL.asymp.p","mvQTL.lod","mvQTL.asymp.p","m__est__(Intercept)","m__est__Low.Water1","m__est__mean.QTL.add","m__est__Low.Water1:mean.QTL.add","m__se__(Intercept)","m__se__Low.Water1","m__se__mean.QTL.add","m__se__Low.Water1:mean.QTL.add","v__est__(Intercept)","v__est__Low.Water1","v__est__var.QTL.add","v__est__Low.Water1:var.QTL.add","v__se__(Intercept)","v__se__Low.Water1","v__se__var.QTL.add","v__se__Low.Water1:var.QTL.add"
"1","A","1","gpm27",0.01,0,1,0,1,0,1,61.9570522245894,4.65833729832787,-0.910057815375694,-0.309830450018262,0.384072140339223,0.50311066060972,0.256417351945869,0.339478409208864,5.4548418751009,-0.313080990122751,-0.113435273472024,0.0581764983644501,0.0510803138246799,0.07184099692214,0.0358997758719308,0.0504803823188851
"2","A","1","tub1",0.81,0,1,0,1,0,1,61.7281901228887,4.81782913621347,-0.671989005049876,-0.457400563706638,0.389928229706353,0.510229556536505,0.254570585079368,0.336913247973943,5.47076569020305,-0.314738425968145,-0.125938931082162,0.0584500643675045,0.0473992336911042,0.0666235560821228,0.0327148467039253,0.0460335092071879
"3","A","1","gpm113b",0.82,0,1,0,1,0,1,61.724902219001,4.82027954763771,-0.668721387731572,-0.459628021621426,0.389961399177271,0.510274890343944,0.254506886771103,0.336836193725481,5.47093427453889,-0.314720127771118,-0.126067709585521,0.0584132971838541,0.0473767882644793,0.0665920031337413,0.0326905755363305,0.0460005798183433
"4","A","1","gpm705a",0.84,0,1,0,1,0,1,61.745892923525,4.77855868478773,-0.694286816551717,-0.421367537322535,0.390398024521853,0.510184125660679,0.255588164678458,0.338149719671682,5.4774477645036,-0.32231128022649,-0.134367636323477,0.0675929260132167,0.0473515435394055,0.0665713252506153,0.0328948882187541,0.0462608967591253
"5","A","1","gpm325a",4.97,0,1,0,1,0,1,61.6678915814117,4.7968542090395,-0.615150543905334,-0.429269015233828,0.395427126165153,0.518399750447704,0.255256934500548,0.338250416982231,5.49939655186482,-0.316406291784039,-0.157189749753272,0.0638279994745216,0.0467472074031007,0.0658782132625361,0.0323145252428547,0.045510959837668
"6","A","1","dmt103b",6.89,0,1,0,1,0,1,61.6785240094975,4.83694488554324,-0.624278944220265,-0.468349162414036,0.396709792704481,0.519943449842437,0.255924407927228,0.338949030349168,5.50222385204231,-0.315599643955831,-0.160097450224818,0.0622189286989854,0.0469781855361899,0.0661606290888839,0.032490164969531,0.0457337665022638
"7","A","1","gpm699d",8.67,0,1,3.15990824240181e-12,0.99999999999842,0,1,61.7263735117446,4.80719073634907,-0.67121540052948,-0.441732646765347,0.39662148816431,0.519805969410325,0.257028415272018,0.340364575308754,5.50079398295182,-0.315966178903174,-0.159266588416014,0.0627994073748041,0.0473021138026364,0.0666169480386836,0.0328443532686689,0.0462232075750444
"8","A","1","gpm319",14.82,0,1,0,1,0,1,61.9052252347023,4.84458715898898,-0.796822005437706,-0.446996151543058,0.420781624223227,0.549376815437601,0.263790523024623,0.348032862834631,5.54345469734359,-0.333203232217133,-0.194280530862687,0.0770151009761404,0.0505820246207413,0.0711991424833213,0.0342097669907181,0.0480799023753287
"9","A","1","IDP1447",19.92,-3.15990824240181e-12,1,-3.15990824240181e-12,1,0,1,60.7488804089617,4.51307921284594,0.286666389856296,-0.178244689707833,0.377288204715038,0.49606190118916,0.251561679629806,0.334131602391355,5.50214355005282,-0.286410974172147,-0.178122343076104,0.040329661467178,0.0443116979013584,0.0621971719093911,0.0321740474189218,0.0453092130241757
"10","A","1","bnl5.62a",21.12,0,1,0,1,0,1,60.7700128236501,4.49255505765687,0.265453612788096,-0.156918822701768,0.374932816981504,0.492809055764653,0.250361299579243,0.332498266140573,5.49844128663409,-0.286827190708789,-0.174668913935762,0.0408690089362202,0.0442205970791298,0.0620562062972726,0.032126077848423,0.0452335738809813
"11","A","1","IDP1464",21.17,0,1,0,1,0,1,60.7700089864937,4.49255628034895,0.265457759989185,-0.156920137624394,0.374932787990885,0.492809014937456,0.25036126909195,0.332498239115736,5.49844174648694,-0.286827292277327,-0.174669667888538,0.040869206199969,0.044220556785584,0.0620561516167578,0.0321260579843284,0.0452335479094266
"12","A","1","fus6",22.62,0,1,0,1,0,1,60.7852392740365,4.37589058771138,0.242068939930297,-0.0322882048419252,0.383815627145907,0.505612217633295,0.252605337271874,0.335505635877179,5.51535929311134,-0.283926996784326,-0.190054733869193,0.0374802264475309,0.0453155873459682,0.0637110799845197,0.0325678507612548,0.0458674425335841
"13","A","1","AY109692",23.62,0,1,0,1,0,1,60.7995459703141,4.37879997308008,0.227992541616696,-0.0354759862807561,0.384127430095612,0.506098379462619,0.253278489853335,0.336383857319661,5.51588219748116,-0.283232357066763,-0.190891393247626,0.0367386534879602,0.0453621549810172,0.0637757399816855,0.0326662690574216,0.0460035748091885
"14","A","1","mmp102",24.42,0,1,0,1,0,1,61.0512252676836,4.28363366001052,-0.0308152082650394,0.0609213540727567,0.385073997015226,0.504822983706182,0.252079130259478,0.334948404609744,5.52765685055735,-0.313226006211117,-0.20673648572434,0.0753986965909224,0.0510660767124729,0.0719040647007025,0.0367813917813752,0.0517665655177263
"15","A","1","AY110314",29.42,0,1,0,1,0,1,61.2075307312861,4.3773045875365,-0.208920973062186,-0.0352563049812197,0.372072187620562,0.490273998504035,0.252803554085779,0.33633541885913,5.5082796496033,-0.291763250890298,-0.196629521544661,0.0526232148631252,0.0458174944002092,0.0645570083796475,0.0342656509567752,0.048236770678629
"16","A","1","umc94a",38.62,0,1,0,1,0,1,61.235609260768,4.3264664347468,-0.273003560526186,0.0204910881529914,0.341957165459301,0.452269386334735,0.255744118554782,0.340560410235394,5.44050147021637,-0.267204874314064,-0.125621684217325,0.0199205848198142,0.0443335446330687,0.0623620322317962,0.0355929436086812,0.0501950498836915
"17","A","1","gpm331",38.71,0,1,0,1,0,1,61.2373104700043,4.32619824937595,-0.274692638679561,0.020764552711892,0.342295849730515,0.452708449237153,0.255932159200026,0.340805570435971,5.44079798931346,-0.267303724041604,-0.125824032300723,0.0200310324759942,0.0444090698117026,0.0624677546546851,0.0356452611236992,0.0502674928151836
"18","A","1","lim179",47.02,3.15990824240181e-12,0.99999999999842,3.15990824240181e-12,0.99999999999842,3.15990824240181e-12,1,61.5980971482192,4.35479086322464,-0.656787402610209,-0.0256533112904267,0.358932373666507,0.470902374707108,0.251627463363473,0.334801497123263,5.46811465165738,-0.294554292176858,-0.151147294656243,0.0519854968434266,0.0467817724528074,0.065626733347793,0.0354665592574739,0.049951172102567
"19","A","1","IDP755",52.47,0,1,0,1,0,1,61.8628311758113,4.31722706011229,-0.98322331842092,0.0413867023715926,0.352059021205705,0.464129366043439,0.249601131871232,0.332520245447195,5.45529693558715,-0.29531160203261,-0.141508705150795,0.0568746553511749,0.0461992116748455,0.0651969719125234,0.0353365139524567,0.049729905200566
"20","A","1","AY107629",54.63,0,1,0,1,0,1,61.8629643423049,4.3169892839069,-0.983336951958445,0.0416012406467445,0.352062672440036,0.464132835651479,0.24959998824552,0.332525435684836,5.45529082846807,-0.295311713987078,-0.141494537771466,0.0568690924785396,0.0461930442878129,0.0651880077308555,0.0353310653042178,0.0497233680777211
"21","A","1","mmp49",56.12,0,1,0,1,3.15990824240181e-12,1,61.8540326625991,4.32904729964117,-0.969837785340139,0.0286061512708218,0.352857639277695,0.465152105935921,0.249681866927867,0.332373963237257,5.45720202343368,-0.295469646022546,-0.143438370217581,0.0569779720745705,0.0464468602254643,0.0655407442834231,0.035489007829063,0.0499026119659412
"22","A","1","cdo1081a",57.82,0,1,0,1,0,1,61.8549917412199,4.32789507285012,-0.971311728959762,0.0300223606593261,0.352757293197863,0.465016812701213,0.249635987698337,0.332322385989305,5.45701623188452,-0.295536137164526,-0.14326183714195,0.0570891054157606,0.0464077506617507,0.0654865976759115,0.0354601850062837,0.0498631181687395
"23","A","1","asg31",65.22,0,1,0,1,0,1,61.5822160328464,4.42882268474557,-0.696993338324522,-0.095423588395408,0.3323972864202,0.440910685012257,0.25454732069469,0.33792142237178,5.38485032989356,-0.266035132859976,-0.0495980704703655,0.0157610991973428,0.0492760448318453,0.0695292658285367,0.0388475945591988,0.0546132256230087
"24","A","1","npi415",66.02,0,1,0,1,0,1,61.5824587610451,4.42900104284236,-0.697151611283846,-0.0955962581736538,0.332461894534005,0.44100385162754,0.254601824122929,0.337995077863407,5.38491089485977,-0.266003815240281,-0.0496665411493732,0.0157190729204491,0.0494650302484835,0.0697966772195822,0.038998634059018,0.0548260286953992
"25","A","1","ufg31",71.62,0,1,0,1,0,1,60.6821965083405,4.57385840614198,0.474358203484514,-0.325274263729731,0.318269715399544,0.421909554287469,0.262517404346912,0.349117847914643,5.36631056798099,-0.266513075642108,-0.0269115366942677,0.0207272912054878,0.0401288242255102,0.0565881894731091,0.0336662530921696,0.0473412096406572
"26","A","1","gpm330",71.91,0,1,0,1,0,1,60.6825406069712,4.57364039196753,0.473866283847716,-0.324962047285061,0.318256673022051,0.42189384007291,0.2624897027169,0.349080656437808,5.36629250580911,-0.266505705840693,-0.0268822230085341,0.0207134624233614,0.040127498098826,0.056586482613265,0.0336624075216178,0.0473358508755097
"27","A","1","ufg33",72.02,0,1,0,1,0,1,60.6817971064142,4.57389191131193,0.474939079911344,-0.325342603879318,0.318260174414363,0.421892752784421,0.262488228554331,0.349084611257229,5.36634946657549,-0.266565465021973,-0.0269726739166943,0.0208056848775206,0.0401282013799519,0.0565874267668537,0.0336643556349468,0.0473388434881125
"28","A","1","ufg32",72.82,0,1,0,1,0,1,60.6800673512327,4.57492800020812,0.477748477253519,-0.327064367633025,0.318241650486928,0.421836068086172,0.262503575245038,0.349146829099716,5.36667379500348,-0.266960095659032,-0.0274791880314356,0.0214023971942365,0.0401219140679365,0.056579189441185,0.0336737512020811,0.0473543776419168
"29","A","1","ufg34",74.42,0,1,0,1,0,1,60.6735953163741,4.57930348666753,0.487346425332729,-0.333564122554065,0.318353161744347,0.42190773101477,0.262633972969101,0.349395463078875,5.36754870766139,-0.267767333274723,-0.0288323525093231,0.0226463285175013,0.0401243025827026,0.0565819873011031,0.0337090685657783,0.047406841041779
"30","A","1","AY108650",77.57,0,1,0,1,0,1,60.5955835385106,4.35610313188301,0.562030034154859,-0.0245281992867751,0.324130949375962,0.428837672940534,0.259134759980991,0.344829780332484,5.36962795662566,-0.276286813988234,-0.0304869315441486,0.0310886947922703,0.0460069309126989,0.064887349274959,0.0374720749254148,0.0527031150041347
"31","A","1","gpm495",80.45,0,1,0,1,0,1,60.967848517889,4.52151715623706,0.0743390164759146,-0.244988709785962,0.320191077371003,0.427075831608411,0.259790612598803,0.343667810754662,5.37701736189573,-0.24071785155604,-0.0408214512731004,-0.0171008753852771,0.0441105550284948,0.0622427606529895,0.0367214596622052,0.0515888118467019
