"","chr","pos","lod"
"gpm27","1",0.01,8.22183803626831
"tub1","1",0.81,6.31546907032134
"gpm113b","1",0.82,6.30281379293592
"gpm705a","1",0.84,6.44397606768689
"gpm325a","1",4.97,8.35746693184046
"dmt103b","1",6.89,5.45098543416316
"gpm699d","1",8.67,5.7601050410467
"gpm319","1",14.82,10.4263559793726
"IDP1447","1",19.92,0.499052459274026
"bnl5.62a","1",21.12,0.224626085646378
"IDP1464","1",21.17,0.224652846040044
"fus6","1",22.62,0.412236423975628
"AY109692","1",23.62,0.319782514607141
"mmp102","1",24.42,0.0124637493008777
"AY110314","1",29.42,1.11566023353043
"umc94a","1",38.62,22.2953107093508
"gpm331","1",38.71,21.2298065521954
"lim179","1",47.02,4.64655276911253
"IDP755","1",52.47,6.68366677229824
"AY107629","1",54.63,6.68890472128987
"mmp49","1",56.12,6.56242181367634
"cdo1081a","1",57.82,6.63263640582772
"asg31","1",65.22,3.91686294628926
"npi415","1",66.02,3.96884814345685
"ufg31","1",71.62,0.7249378896704
"gpm330","1",71.91,0.70855949216093
"ufg33","1",72.02,1.07689180195121
"ufg32","1",72.82,2.47823626321406
"ufg34","1",74.42,0.881976928363656
"AY108650","1",77.57,9.43245252842462
"gpm495","1",80.45,0.0126109698667278
"gpm83b","1",80.75,0.0268214569041447
"gpm767","1",80.94,0.010329643760997
"bnlg1014","1",81.12,0.0103263149048871
"umc1363a","1",82.02,0.245525317386637
"gst12","1",83.52,1.34575719084205
"umc1269","1",84.62,1.33984668700759
"umc2012","1",85.72,1.32744818102765
"umc1977","1",87.52,0.335943957048585
"IDP553","1",88.91,0.000346920152878738
"IDP4043","1",89.33,0.00173972628908814
"php20603","1",90.02,9.02049685261591
"sgb101","1",90.74,3.7216809624897
"IDP1437","1",91.9,1.02939191683981
"IDP847","1",93.03,1.47072746930462
"gpm125","1",96.14,1.47476839227966
"lls1","1",97.12,1.82534245972784
"php20689","1",99.42,1.85611615986636
"umc1685","1",101.32,4.58650013366605
"gpm557b","1",106.62,5.05730788572328
"umc1160","1",106.63,5.05586342468814
"gpm584","1",107.6,3.35708702768352
"gpm346b","1",108.13,0.336668145857402
"gpm33e","1",108.55,0.398280883691768
"umc2224","1",109.23,0.584972661255961
"gpm556","1",110.49,0.461900347696428
"npi579b","1",110.53,1.62409567478971
"IDP3917","1",115.28,0.373604807196898
"gpm199c","1",115.57,0.906283769592847
"IDP1425","1",118.03,0.830600511269949
"mmp68","1",121.93,0.906417919735759
"umc2225","1",123.03,0.878290954258773
"csu1171","1",125.63,1.18373677086674
"mmp171b","1",130.13,0.103177648090423
"gpm403b","1",131.93,0.750635600870737
"umc1568","1",140.13,0.767858305829577
"IDP3783","1",140.14,0.768561538247013
"bnlg1429","1",141.83,0.766131658316226
"IDP209","1",144.3,0.753733929048394
"php20640","1",145.23,1.86380108672893
"lim504","1",149.93,1.62337812534497
"gpm283b","1",151.4,1.33829785695889
"IDP343","1",152.71,0.304203118914302
"IDP622","1",152.96,0.303396574779981
"IDP3970","1",156.2,0.159267172026375
"umc1976","1",158.93,0.0985126348405174
"gpm667","1",162.62,0.907714455073801
"gpm774d","1",162.74,0.901188270081548
"umc2226","1",164.13,1.07630412416256
"mmp135","1",164.33,0.129181628200968
"bnlg1127","1",165.83,0.754949397725795
"bnlg1953","1",168.33,0.0904146657903766
"gpm768","1",168.34,0.0990334995894955
"gpm291","1",168.35,0.111086716904538
"IDP4048","1",177.32,2.36509867205677
"IDP2552","1",178.95,0.669183531646922
"npi403b","1",182.13,0.537533730488576
"IDP645","1",193.89,0.417172766359727
"umc76a","1",196.73,0.670022107640762
"ufg78","1",198.03,0.724918302805236
"cdo1387b","1",199.83,1.23935919681571
"gpm518","1",201.34,1.15469316970666
"gpm748b","1",202.7,1.1655100966891
"lim122","1",203.33,1.16512577088724
"IDP2362","1",203.7,1.16472988732312
"IDP2385","1",203.71,1.16480257750118
"umc1073","1",206.84,2.2303848876636
"IDP1410","1",209.61,2.99417568990975
"npi439a","1",215.14,0.574890795483952
"umc230","1",216.74,0.23685837080302
"umc11a","1",217.14,2.87950141622059
"bnlg1484","1",217.34,9.1303286979728
"IDP3976","1",218.09,0.121699937564699
"gpm796a","1",220.99,0.145706994009743
"IDP329","1",221.79,0.111175628204364
"mmp66","1",222.74,0.0210630928468163
"AY109929","1",223.74,0.0487981237911299
"IDP1483","1",224.74,0.00436890414493973
"gpm857","1",225.64,3.51428185502664
"gpm559","1",225.98,3.72119212544021
"AY110052","1",227.94,1.66179788322552
"gpm838a","1",228.09,2.89867717100788
"IDP3914","1",238.65,26.9750169756462
"AY110028","1",244.64,6.52827005291329
"IDP112","1",251.06,0.565575111853832
"IDP142","1",252.7,3.1200028243311
"npi242b","1",253.54,3.07618377110703
"IDP81","1",254.78,3.07136177933171
"asg26","1",256.24,3.30130137292872
"IDP1632","1",256.7,3.29296178467666
"lim51","1",257.04,6.57186649674986
"bnlg439","1",257.44,6.57039236203673
"bnlg1203","1",257.64,6.57041524129454
"IDP349","1",257.65,6.57048355883671
