"","chr.type","chr","loc.name","pos","mQTL.lod","mQTL.asymp.p","vQTL.lod","vQTL.asymp.p","mvQTL.lod","mvQTL.asymp.p","m__est__(Intercept)","m__est__Env2","m__est__Env3","m__est__Env4","m__est__Env5","m__est__Env6","m__est__Env7","m__est__Env8","m__est__mean.QTL.add","m__est__mean.QTL.dom","m__se__(Intercept)","m__se__Env2","m__se__Env3","m__se__Env4","m__se__Env5","m__se__Env6","m__se__Env7","m__se__Env8","m__se__mean.QTL.add","m__se__mean.QTL.dom","v__est__(Intercept)","v__est__Env2","v__est__Env3","v__est__Env4","v__est__Env5","v__est__Env6","v__est__Env7","v__est__Env8","v__est__var.QTL.add","v__est__var.QTL.dom","v__se__(Intercept)","v__se__Env2","v__se__Env3","v__se__Env4","v__se__Env5","v__se__Env6","v__se__Env7","v__se__Env8","v__se__var.QTL.add","v__se__var.QTL.dom"
"1","A","1","gpm27",0.01,17.9222601232169,0.000128301183538859,3.11670236788253,0.210482832723905,21.1859988716071,0.000290880503278939,71.287671822675,6.10208874178912,-22.7398970051344,-2.92961147205665,-11.5304686529723,-1.45168037454317,-12.0947822013413,-12.7766940167908,-1.11795529629356,76.1101947988035,0.419579112123002,0.495405645212157,0.552357017309484,0.531905441729652,0.512674350667679,0.521543997538982,0.589561721709318,0.556052804833333,0.131184398711141,21.7078009568898,4.86895841559194,-0.403931179296675,-0.0174457295699748,-0.0661919967183703,-0.19010056329769,-0.247986544065772,0.355305250838663,0.0790325953984051,-0.0643892214074072,-4.11171640115142,0.0785382394484379,0.101356755684663,0.10406706472163,0.101294040505963,0.10026413606164,0.103688483216414,0.100825785323481,0.102287026760821,0.025556586925167,4.34177236263108
"2","A","1","tub1",0.81,26.7951554430553,1.5188186617031e-06,5.06401623595559,0.0794992160817173,29.2925988934964,6.81717759051057e-06,71.3590976246868,6.04608838400134,-22.6019348264598,-3.00562358836056,-11.5020036747869,-1.37964596375305,-12.016028835683,-12.7431599411375,-1.13283036370429,473.666936245984,0.413834285923284,0.496123472158488,0.548655134230395,0.530383883871196,0.508656536579312,0.517666025872598,0.586323193322401,0.551812555949968,0.131618865826451,52.8305899495865,4.85039575098325,-0.366085479904456,-0.017144773015967,-0.0489419266492567,-0.196780315541614,-0.255182237695387,0.358553128259535,0.0720829260199332,-0.056178024512126,-30.7754247118347,0.0808697435885158,0.105297103678974,0.10811210819544,0.105240514839541,0.10417011722649,0.107724462534083,0.104749974892799,0.106271486296535,0.0265713050068222,13.3386534890691
"3","A","1","gpm113b",0.82,24.7833275419379,4.15306571072566e-06,5.16851975462494,0.0754519026055792,27.0351798743923,1.9555990014416e-05,71.4842244180082,5.97712633524216,-22.8498483417879,-2.96929935152706,-11.6739752177082,-1.46218104222067,-12.3375960543208,-12.9219265626419,-1.09876966132714,1735.35895791555,0.413365869061675,0.491000201114082,0.553314101951577,0.527399218918129,0.511126309430461,0.517869837683259,0.590485476903418,0.552787595734881,0.13064384935753,189.727988208259,4.84234576867854,-0.410170477600597,0.0182576421739831,-0.0682212309024376,-0.167923806850021,-0.247901567879256,0.390513171645583,0.0866797396001504,-0.054853546313946,-135.23209495949,0.0788931112703508,0.102750382121015,0.10545856936507,0.102668393358742,0.101625915434092,0.105083256634398,0.102199307013733,0.10367332803595,0.0257684377176088,52.6787428497012
"4","A","1","gpm705a",0.84,22.4285424178074,1.34804346504171e-05,4.30531725863939,0.116174880884834,24.6336393394666,5.96037660778801e-05,71.4196988414106,6.01861524839426,-22.8193725890213,-2.95305792887233,-11.6458261528653,-1.40801231257762,-12.3094698144965,-12.8906254642183,-1.08494059572622,619.769145815849,0.413008840223038,0.491255825236268,0.554043938099722,0.526767450609875,0.510910620221973,0.518350188021675,0.591934241006932,0.553314163404529,0.130967835731012,79.9794736184134,4.84307462312876,-0.408716108700831,0.0224646394851825,-0.0742666055983816,-0.170593632034898,-0.245706579726235,0.397453083598416,0.0892485222640439,-0.0555223175780375,-42.7487498849896,0.0790286527605562,0.102973744147316,0.10569956359191,0.102903733363096,0.101859239117325,0.10532560941965,0.102430199198902,0.103909412503765,0.0258841523663368,19.9852957729554
"5","A","1","gpm325a",4.97,20.9966700519573,2.75823350111714e-05,6.36883702219874,0.0414023137885868,24.5864065209686,6.09199172105411e-05,71.3435434945211,5.98094210904905,-22.7831953174262,-2.99664231560898,-11.6435020873687,-1.43351072957945,-12.2143155298361,-12.8238542484196,-0.953739956991426,16.5189521142211,0.413706688525435,0.490930644576672,0.55263115836255,0.527322641137039,0.511027094134588,0.51827231529452,0.589702031297106,0.553834978449146,0.130712509859364,2.18014801546299,4.8560245960659,-0.405923267050704,0.0182055478590241,-0.0648642321766409,-0.165608586672552,-0.235690613556749,0.389098192219095,0.0986378247161479,-0.0711927017864147,-1.75819002930713,0.0791250038683398,0.103122580345825,0.105835863537235,0.103031671141863,0.101982930803475,0.105463039953013,0.102561882285269,0.104047441115181,0.0257952115334062,0.622627506603164
"6","A","1","dmt103b",6.89,22.8516214910475,1.09102183396022e-05,7.6633778356599,0.0216729808182315,27.3561255965376,1.68407545059753e-05,71.6865388039798,6.02932401022775,-22.7798976073352,-2.92633220288684,-11.5125282512911,-1.4476587202931,-12.0444412824042,-12.699026391453,-1.02602890062723,-3920.71419318786,0.418150401264571,0.492326396807898,0.553075619895743,0.531451756694757,0.5117095699822,0.52019729520035,0.589771131569038,0.555296407858074,0.130606955985593,593.580588029291,4.89332628505386,-0.437233948439309,-0.0134303103961869,-0.0653089757833522,-0.198753188794227,-0.25481243920394,0.356458644521387,0.0756289300134433,-0.0753205310455063,-313.642890127991,0.0812312007069462,0.105436631413014,0.108251839890508,0.105384980654197,0.104307060840282,0.107869714865204,0.104887786528603,0.106414170911474,0.0264704343309471,133.064924385
"7","A","1","gpm699d",8.67,23.9257789256566,6.37651108014229e-06,6.97830638999237,0.0305267114012433,29.5711806172996,5.98357231943542e-06,70.886116640404,6.01954914249353,-22.6285150388441,-2.9864187204703,-11.5217448866452,-1.42129294969045,-11.9083546808194,-12.7104058782959,-0.844283341787378,817.482427018248,0.421769980363693,0.493282285079056,0.550167180245656,0.52857948889572,0.509504332384644,0.520137565812652,0.585270461088044,0.554855669378125,0.133484994941045,114.846243161188,4.90307185399021,-0.397996923834052,-0.00892400863453494,-0.0676603322603984,-0.19362961491489,-0.23151247944781,0.349558605805107,0.0941805928037729,-0.0955459384556549,-52.4663597929851,0.0800967368612613,0.10283460838456,0.105584851557009,0.102773044659715,0.101730243358378,0.105204539376672,0.102300276342856,0.103787290720609,0.0262800517564263,24.0029542404201
"8","A","1","gpm319",14.82,19.370205039589,6.22032990775007e-05,6.33306425611287,0.0421495138648442,26.4496898216495,2.5678542590741e-05,71.7487661825874,6.06567297000542,-22.648258713866,-2.98963204087957,-11.4173378349505,-1.39910177262254,-11.9715308916237,-12.7239200870507,-1.23906656925341,-3.83890768117725,0.418273819988606,0.490239802630683,0.552893430869409,0.526943875520875,0.508602527951765,0.517636890795195,0.586812530770852,0.55342767942913,0.133317408508675,1.60679584793516,4.87701665959315,-0.402431706278264,0.027946290981306,-0.0562017854721416,-0.176368349617421,-0.227983045534273,0.37731490836353,0.102469490910039,-0.0963845476008039,0.116685256977983,0.0804777683839663,0.103700484934215,0.106469376258303,0.103641857722018,0.102614273227773,0.106108451988702,0.103162336431412,0.104687582098914,0.0263839526970133,0.311652899505174
"9","A","1","IDP1447",19.92,1.0168161556721,0.601452282330258,18.1274946421062,0.000115788266785693,18.6749428806476,0.000910336594567615,70.1614156213306,6.05083388730618,-22.4090161794081,-3.00922786321974,-11.4224372417121,-1.4048828425816,-11.6872609426122,-12.6292625768894,0.0722962157142742,5.01052051186137,0.410664057649141,0.491382317745715,0.54530544885984,0.528094860627153,0.50601679014475,0.516626251225625,0.586515198039097,0.547973873506701,0.131008724597592,2.29561166612957,4.91441716994607,-0.36792075935152,-0.00362671079017841,-0.0313449412624276,-0.176454319788469,-0.212138085631258,0.394031722787774,0.076242973952029,-0.135403465371714,-2.79244620169295,0.0763278074250344,0.100241253743139,0.102917480243066,0.100176885680451,0.0991570213466268,0.102552831501659,0.0997181172408903,0.101168278880908,0.0251502494127448,0.641890528463449
"10","A","1","bnl5.62a",21.12,0.0391883278390311,0.980596554026141,11.2047974800424,0.00368900413296025,11.2921736512744,0.0234693822231421,70.2739748815556,6.0602781846881,-22.5782839158907,-3.06431228713078,-11.5034177721407,-1.41431583289083,-12.0716007400069,-12.6293763270234,0.0545128732491167,-850.199739413546,0.417672657528624,0.494248557832595,0.549113034158894,0.531195854992051,0.509093891052894,0.520018510734241,0.587460987092179,0.550966073026938,0.131762230322347,26399.3843198049,4.90519367283462,-0.369322230724068,-0.00369847852304094,-0.0263914128828028,-0.173577274241769,-0.213930993890555,0.375542345912833,0.0737121014244667,-0.128680326290183,-2369.79622064161,0.0784133041619818,0.101513035567923,0.104218969292269,0.101451757080422,0.100421237665787,0.103851719967627,0.100981715900178,0.102461390381021,0.0257007840289262,5064.69497059913
